date,open,high,low,close,volume
2025-06-20,105959.68,106078.85,105757.48,105940.58,475.74806
2025-06-20,105940.57,106172.06,105829.18,105958.87,509.44809
2025-06-20,105958.87,106075.14,105801.09,105977.82,308.78491
2025-06-20,105977.82,106107.69,105876.01,105982.89,249.32596
2025-06-20,105982.9,106149.17,105361.62,105674.0,755.45526
2025-06-20,105673.99,105795.39,103888.0,103940.01,1538.46329
2025-06-20,103940.01,104623.34,103888.0,104217.99,1125.6248
2025-06-21,104218.0,104269.64,103620.01,103670.61,1250.51824
2025-06-21,103670.61,103761.84,102345.0,103279.26,2746.51433
2025-06-21,103279.26,103428.5,103037.25,103165.45,792.98471
2025-06-21,103165.44,103495.72,103010.41,103307.22,437.48107
2025-06-21,103307.21,103828.0,103300.11,103693.5,712.51715
2025-06-21,103693.51,103719.99,103353.06,103532.0,311.76605
2025-06-21,103531.99,103532.0,102980.0,103107.11,435.1464
2025-06-21,103107.12,103339.99,102963.67,103297.99,295.95141
2025-06-21,103297.98,103339.99,103127.48,103248.07,202.14606
2025-06-21,103248.06,103515.37,103137.86,103515.36,263.84601
2025-06-21,103515.36,103538.6,103377.44,103499.98,139.14418
2025-06-21,103499.99,103691.67,103495.87,103495.87,145.59786
2025-06-21,103495.86,103531.97,103333.0,103384.98,129.74868
2025-06-21,103384.99,103487.0,103343.0,103421.21,115.82266
2025-06-21,103421.21,103599.04,103330.0,103572.69,164.9677
2025-06-21,103572.69,103572.69,103360.02,103458.5,276.07214
2025-06-21,103458.5,103830.48,103458.49,103826.03,335.53724
2025-06-21,103826.03,103933.33,103653.14,103843.37,387.02991
2025-06-21,103843.37,103982.64,103767.77,103831.22,298.42441
2025-06-21,103831.22,103929.99,103724.13,103874.64,167.57049
2025-06-21,103874.63,103946.47,103786.61,103807.7,151.86969
2025-06-21,103807.7,103866.98,103534.62,103572.29,272.41367
2025-06-21,103572.29,103776.0,103382.97,103549.99,497.84934
2025-06-21,103550.0,103680.0,103281.82,103560.9,527.14166
2025-06-22,103560.9,103640.0,103449.1,103486.01,208.22464
2025-06-22,103486.01,103589.2,103174.12,103182.98,342.68316
2025-06-22,103182.98,103423.21,102633.45,102645.22,616.44824
2025-06-22,102645.22,102757.22,102210.43,102245.1,1198.04823
2025-06-22,102245.11,102888.88,102206.0,102782.08,454.58904
2025-06-22,102782.09,102836.0,101110.0,101455.61,1921.95689
2025-06-22,101455.61,102000.0,101446.74,101772.96,652.3887
2025-06-22,101772.97,102322.41,100837.9,102120.01,1684.69272
2025-06-22,102120.02,103399.62,101839.96,102852.0,1871.90453
2025-06-22,102852.0,103005.37,102237.37,102387.0,887.90565
2025-06-22,102387.01,102884.0,101885.98,102347.64,1115.38093
2025-06-22,102347.63,102600.0,102127.34,102375.4,464.71771
2025-06-22,102375.4,102786.38,102256.01,102548.15,383.4842
2025-06-22,102548.14,102919.46,102548.14,102853.89,414.14625
2025-06-22,102853.89,102946.47,102692.87,102744.36,318.23622
2025-06-22,102744.36,102750.0,102269.18,102424.61,365.86442
2025-06-22,102424.61,102712.34,102318.04,102712.34,353.70287
2025-06-22,102712.34,102804.05,102080.0,102199.99,564.4597
2025-06-22,102199.99,102532.44,102150.0,102495.69,394.55689
2025-06-22,102495.68,102760.5,102428.69,102739.48,488.58739
2025-06-22,102739.47,102831.0,102584.36,102759.98,502.02446
2025-06-22,102759.97,102810.28,100268.75,100865.66,3718.17394
2025-06-22,100865.66,101239.06,99066.36,99628.28,5962.78508
2025-06-22,99628.29,99826.34,98889.35,98906.21,2239.60197
2025-06-23,98906.21,99689.66,98673.66,99667.17,1941.29236
2025-06-23,99667.17,100380.0,99407.98,99480.0,1314.03627
2025-06-23,99480.01,99777.61,99350.34,99437.42,497.41061
2025-06-23,99437.42,99453.75,98800.0,98882.84,666.66278
2025-06-23,98882.85,99760.0,98200.0,99536.0,1553.47813
2025-06-23,99536.0,99667.01,99004.72,99173.83,581.67969
2025-06-23,99173.83,100980.06,99140.0,100980.05,1447.49104
2025-06-23,100980.05,101034.65,100645.88,100963.87,698.82763
2025-06-23,100963.87,101620.0,100494.25,100904.6,1456.49465
2025-06-23,100904.6,101109.87,100564.19,101101.64,510.13988
2025-06-23,101101.65,101399.37,100930.2,101301.2,558.46691
2025-06-23,101301.2,101370.68,101073.32,101154.14,405.1221
2025-06-23,101154.13,101314.46,100980.0,101167.99,476.00651
2025-06-23,101168.0,101890.0,101167.99,101771.02,654.30154
2025-06-23,101771.01,102064.69,101645.47,101940.27,858.16211
2025-06-23,101940.28,102137.0,101748.31,101931.04,520.59927
2025-06-23,101931.04,102080.0,101746.61,101881.37,611.15349
2025-06-23,101881.38,101881.38,101389.09,101567.66,744.83165
2025-06-23,101567.66,101577.01,101198.68,101463.21,457.66095
2025-06-23,101463.22,101562.19,101102.76,101289.01,713.87442
2025-06-23,101289.0,101684.7,101112.06,101684.7,534.10819
2025-06-23,101684.7,102480.06,100792.16,102354.14,1686.21308
2025-06-23,102354.15,102613.09,101496.0,101624.39,1515.43225
2025-06-23,101624.39,102060.25,101301.2,101420.7,715.91148
